Student number, Year, Major, Course Title
1,1,Electrical Engineering,Introduction to Electrical Engineering,Calculus I
1,1,Electrical Engineering,Introduction to Digital Logic,English Composition
1,1,Electrical Engineering,Psychology,General Chemistry
1,1,Electrical Engineering,Introduction to Sociology,College Success Seminar
1,2,Electrical Engineering,Circuit Analysis I,Calculus II
1,2,Electrical Engineering,Introduction to Programming (Python),Introduction to Electronic Devices
1,2,Electrical Engineering,Art,Physics I
1,2,Electrical Engineering,Communication and Presentation Skills,Engineering Ethics
1,3,Electrical Engineering,Signals and Systems,Introduction to Control Systems
1,3,Electrical Engineering,Data Structures and Algorithms,Electromagnetic Fields and Waves
1,3,Electrical Engineering,Economics,Probability and Statistics for Engineers
1,3,Electrical Engineering,Technical Writing and Presentation,Engineering Design Laboratory
1,4,Electrical Engineering,Senior Design Project I,Senior Design Project II
1,4,Electrical Engineering,Power Systems,Power Electronics
1,4,Electrical Engineering,Engineering Elective,Engineering Elective
2,4,Electrical Engineering,Ethics in Engineering,Engineering Seminar
2,1,Psychology,Introduction to Psychology,Calculus I
2,1,Psychology,Introduction to Sociology,English Composition
2,1,Psychology,Spanish Language,General Chemistry
2,1,Psychology,Introduction to Philosophy,College Success Seminar
2,2,Psychology,Cognitive Psychology,Statistics for Behavioral Sciences
2,2,Psychology,Social Psychology,Research Methods in Psychology
2,2,Psychology,Art,Physics I
2,2,Psychology,Communication and Presentation Skills,Introduction to Neuroscience
2,3,Psychology,Abnormal Psychology,Developmental Psychology
2,3,Psychology,Learning and Memory,Psychological Testing and Assessment
2,3,Psychology,Economics,Sensation and Perception
2,3,Psychology,Technical Writing and Presentation,History and Systems of Psychology
2,4,Psychology,Senior Thesis in Psychology,Advanced Topics in Psychology
2,4,Psychology,Cross-Cultural Psychology,Psychology Elective
2,4,Psychology,Psychology Elective,Ethics in Psychology
3,4,Psychology,Psychology Seminar,Independent Research in Psychology
3,1,Computer Science,Introduction to Computer Science,Calculus I
3,1,Computer Science,Introduction to Digital Logic,English Composition
3,1,Computer Science,Psychology,General Chemistry
3,1,Computer Science,Introduction to Sociology,College Success Seminar
3,2,Computer Science,Data Structures and Algorithms,Computer Organization and Assembly Language
3,2,Computer Science,Linear Algebra,Introduction to Software Engineering
3,2,Computer Science,Art,Physics I
3,2,Computer Science,Communication and Presentation Skills,Engineering Ethics
3,3,Computer Science,Operating Systems,Database Management Systems
3,3,Computer Science,Web Development,Introduction to Artificial Intelligence
3,3,Computer Science,Economics,Technical Writing and Presentation
3,3,Computer Science,History and Philosophy of Science,Engineering Design Laboratory
3,4,Computer Science,Software Testing and Quality Assurance,Capstone Project
3,4,Computer Science,Cloud Computing,Cybersecurity
3,4,Computer Science,Human-Computer Interaction,Machine Learning
4,4,Computer Science,Ethics in Computing,Computer Science Seminar
4,1,Mechanical Engineering,Introduction to Mechanical Engineering,Calculus I
4,1,Mechanical Engineering,Introduction to Digital Logic,English Composition
4,1,Mechanical Engineering,Art,General Chemistry
4,1,Mechanical Engineering,Introduction to Sociology,College Success Seminar
4,2,Mechanical Engineering,Engineering Thermodynamics,Calculus II
4,2,Mechanical Engineering,Engineering Materials,Introduction to Programming (Python)
4,2,Mechanical Engineering,Spanish Language,Physics I
4,2,Mechanical Engineering,Communication and Presentation Skills,Engineering Ethics
4,3,Mechanical Engineering,Mechanics of Materials,Introduction to Control Systems
4,3,Mechanical Engineering,Data Structures and Algorithms,Electromagnetic Fields and Waves
4,3,Mechanical Engineering,Economics,Technical Writing and Presentation
4,3,Mechanical Engineering,History and Philosophy of Science,Engineering Design Laboratory
4,4,Mechanical Engineering,Senior Design Project I,Senior Design Project II
4,4,Mechanical Engineering,Power Systems,Heat Transfer
4,4,Mechanical Engineering,Engineering Elective,Engineering Elective
5,4,Mechanical Engineering,Ethics in Engineering,Engineering Seminar
5,1,Environmental Science,Introduction to Environmental Science,Calculus I
5,1,Environmental Science,Introduction to Sociology,English Composition
5,1,Environmental Science,French Language,General Chemistry
5,1,Environmental Science,Introduction to Anthropology,College Success Seminar
5,2,Environmental Science,Environmental Policy and Regulation,Statistics for Environmental Sciences
5,2,Environmental Science,Earth System Science,Introduction to Programming (Python)
5,2,Environmental Science,Art,Physics I
5,2,Environmental Science,Communication and Presentation Skills,Environmental Ethics
5,3,Environmental Science,Ecosystem Ecology,Environmental Chemistry
5,3,Environmental Science,Data Analysis for Environmental Science,Geology and Earth Processes
5,3,Environmental Science,Economics,Technical Writing and Presentation
5,3,Environmental Science,Environmental Field Methods,History and Systems of Environmental Science
5,4,Environmental Science,Senior Thesis in Environmental Science,Environmental Impact Assessment
5,4,Environmental Science,Conservation Biology,Environmental Science Elective
5,4,Environmental Science,Environmental Science Elective,Ethics in Environmental Science
6,4,Environmental Science,Environmental Science Seminar,Independent Research in Environmental Science
6,1,Business Administration,Introduction to Business Administration,Calculus I
6,1,Business Administration,Introduction to Sociology,English Composition
6,1,Business Administration,Psychology,General Chemistry
6,1,Business Administration,Introduction to Psychology,College Success Seminar
6,2,Business Administration,Financial Accounting,Managerial Accounting
6,2,Business Administration,Marketing Principles,Introduction to Programming (Python)
6,2,Business Administration,Art,Economics Principles
6,2,Business Administration,Communication and Presentation Skills,Business Ethics
6,3,Business Administration,Operations Management,Business Finance
6,3,Business Administration,Data Analysis for Business,Organizational Behavior
6,3,Business Administration,Environmental Studies,Business Law
6,3,Business Administration,Technical Writing and Presentation,International Business
6,4,Business Administration,Business Strategy and Policy,Entrepreneurship and Innovation
6,4,Business Administration,Business Elective,Business Elective
6,4,Business Administration,Ethics in Business,Business Seminar
7,4,Business Administration,Business Internship or Project,Capstone Project in Business
7,1,Astrophysics,Introduction to Astrophysics,Calculus I
7,1,Astrophysics,Introduction to Digital Logic,English Composition
7,1,Astrophysics,Art,General Chemistry
7,1,Astrophysics,Introduction to Philosophy,College Success Seminar
7,2,Astrophysics,Classical Mechanics,Calculus II
7,2,Astrophysics,Electromagnetism,Introduction to Programming (Python)
7,2,Astrophysics,Spanish Language,Physics I
7,2,Astrophysics,Communication and Presentation Skills,Introduction to Quantum Mechanics
7,3,Astrophysics,Stellar Astrophysics,Astrophysical Techniques
7,3,Astrophysics,Computational Astrophysics,Thermodynamics and Statistical Mechanics
7,3,Astrophysics,Art,Technical Writing and Presentation
7,3,Astrophysics,History and Philosophy of Science,Engineering Design Laboratory
7,4,Astrophysics,Galaxies and Cosmology,Advanced Topics in Astrophysics
7,4,Astrophysics,Physics Elective,Ethics in Science
7,4,Astrophysics,Astrophysics Elective,Astrophysics Seminar
8,4,Astrophysics,Independent Research in Astrophysics,Senior Thesis in Astrophysics
8,1,Biology,Introduction to Biology,Calculus I
8,1,Biology,Introduction to Digital Logic,English Composition
8,1,Biology,Art,General Chemistry
8,1,Biology,Introduction to Psychology,College Success Seminar
8,2,Biology,Cell Biology,Genetics
8,2,Biology,Ecology,Introduction to Programming (Python)
8,2,Biology,Spanish Language,Physics I
8,2,Biology,Communication and Presentation Skills,Biochemistry
8,3,Biology,Evolutionary Biology,Microbiology
8,3,Biology,Data Analysis for Biology,Organic Chemistry
8,3,Biology,Economics,Technical Writing and Presentation
8,3,Biology,History and Philosophy of Science,Engineering Design Laboratory
8,4,Biology,Molecular Biology Laboratory,Senior Seminar in Biology
8,4,Biology,Neuroscience,Virology
8,4,Biology,Biology Elective,Biology Elective
9,4,Biology,Ethics in Biology,Independent Research in Biology
9,1,Civil Engineering,Introduction to Civil Engineering,Calculus I
9,1,Civil Engineering,Introduction to Digital Logic,English Composition
9,1,Civil Engineering,Art,General Chemistry
9,1,Civil Engineering,Introduction to Sociology,College Success Seminar
9,2,Civil Engineering,Mechanics of Materials,Calculus II
9,2,Civil Engineering,Structural Analysis,Introduction to Programming (Python)
9,2,Civil Engineering,Spanish Language,Physics I
9,2,Civil Engineering,Communication and Presentation Skills,Engineering Ethics
9,3,Civil Engineering,Geotechnical Engineering,Hydraulics
9,3,Civil Engineering,Data Structures and Algorithms,Surveying
9,3,Civil Engineering,Economics,Technical Writing and Presentation
9,3,Civil Engineering,History and Philosophy of Science,Engineering Design Laboratory
9,4,Civil Engineering,Senior Design Project I,Senior Design Project II
9,4,Civil Engineering,Transportation Engineering,Environmental Engineering
9,4,Civil Engineering,Engineering Elective,Engineering Elective
10,4,Civil Engineering,Ethics in Engineering,Engineering Seminar
10,1,English Literature,Introduction to Literature,Calculus I
10,1,English Literature,Introduction to Sociology,English Composition
10,1,English Literature,Spanish Language,General Chemistry
10,1,English Literature,Introduction to Philosophy,College Success Seminar
10,2,English Literature,British Literature I,American Literature I
10,2,English Literature,Creative Writing: Fiction,Introduction to Programming (Python)
10,2,English Literature,Art,Communication and Presentation Skills
10,2,English Literature,Introduction to Linguistics,World Literature I
10,3,English Literature,Shakespeare: Comedies,Shakespeare: Tragedies
10,3,English Literature,Modernist Literature,Data Analysis for Humanities
10,3,English Literature,Economics,Technical Writing and Presentation
10,3,English Literature,History and Philosophy of Science,Engineering Design Laboratory
10,4,English Literature,Senior Seminar in Literature,Independent Research in Literature
10,4,English Literature,Literature Elective,Literature Elective
10,4,English Literature,Literature Elective,Ethics in Literature
11,4,English Literature,Capstone Project in Literature,Literature Seminar
11,1,Chemistry,Introduction to Chemistry,Calculus I
11,1,Chemistry,Introduction to Digital Logic,English Composition
11,1,Chemistry,Art,General Chemistry
11,1,Chemistry,Introduction to Psychology,College Success Seminar
11,2,Chemistry,Organic Chemistry I,Analytical Chemistry I
11,2,Chemistry,Inorganic Chemistry I,Introduction to Programming (Python)
11,2,Chemistry,Spanish Language,Physics I
11,2,Chemistry,Communication and Presentation Skills,Biochemistry
11,3,Chemistry,Organic Chemistry II,Physical Chemistry I
11,3,Chemistry,Data Analysis for Chemistry,Technical Writing and Presentation
11,3,Chemistry,History and Philosophy of Science,Engineering Design Laboratory
11,4,Chemistry,Inorganic Chemistry II,Senior Seminar in Chemistry
11,4,Chemistry,Chemistry Elective,Chemistry Elective
11,4,Chemistry,Chemistry Elective,Ethics in Chemistry
11,4,Chemistry,Independent Research in Chemistry,Senior Thesis in Chemistry
12,1,Political Science,Introduction to Political Science,Calculus I
12,1,Political Science,Introduction to Digital Logic,English Composition
12,1,Political Science,Spanish Language,General Chemistry
12,1,Political Science,Introduction to Sociology,College Success Seminar
12,2,Political Science,American Government and Politics,Comparative Politics
12,2,Political Science,International Relations,Introduction to Programming (Python)
12,2,Political Science,Art,Communication and Presentation Skills
12,2,Political Science,Political Theory,World Politics
12,3,Political Science,Public Policy Analysis,Data Analysis for Social Sciences
12,3,Political Science,Economics,Technical Writing and Presentation
12,3,Political Science,History and Philosophy of Science,Engineering Design Laboratory
12,4,Political Science,Senior Seminar in Political Science,Independent Research in Political Science
12,4,Political Science,Political Science Elective,Political Science Elective
12,4,Political Science,Political Science Elective,Ethics in Political Science
12,4,Political Science,Capstone Project in Political Science,Political Science Seminar
12,1,English Literature,Introduction to English Literature,Calculus I
13,1,English Literature,Introduction to Philosophy,English Composition
13,1,English Literature,Art,General Chemistry
13,1,English Literature,Introduction to Sociology,College Success Seminar
13,2,English Literature,British Literature: Medieval to 18th Century,Introduction to Linguistics
13,2,English Literature,American Literature: Colonial to Modern,Shakespeare: Comedies and Histories
13,2,English Literature,Art History,Introduction to Gender Studies
13,2,English Literature,Communication and Presentation Skills,Introduction to Creative Writing
13,3,English Literature,Victorian Literature,Literature and Culture of the Renaissance
13,3,English Literature,Romantic Literature,Literature of the Americas
13,3,English Literature,Women Writers: Feminist Perspectives,Poetry Writing Workshop
13,3,English Literature,Technical Writing and Presentation,Literature and Film
13,4,English Literature,Senior Seminar: Modern Literature,Senior Seminar: Postcolonial Literature
13,4,English Literature,Literature Elective,Literature Elective
13,4,English Literature,Capstone Project in English Literature,Ethics in Literature
13,4,English Literature,Independent Research in English Literature,Honors Thesis in English Literature
13,1,Civil Engineering,Introduction to Civil Engineering,Calculus I
14,1,Civil Engineering,Introduction to Digital Logic,English Composition
14,1,Civil Engineering,Art,General Chemistry
14,1,Civil Engineering,Introduction to Sociology,College Success Seminar
14,2,Civil Engineering,Mechanics of Materials,Calculus II
14,2,Civil Engineering,Structural Analysis,Introduction to Programming (Python)
14,2,Civil Engineering,Art History,Physics I
14,2,Civil Engineering,Communication and Presentation Skills,Engineering Ethics
14,3,Civil Engineering,Geotechnical Engineering,Environmental Engineering
14,3,Civil Engineering,Water Resources Engineering,Transportation Engineering
14,3,Civil Engineering,Economics,Technical Writing and Presentation
14,3,Civil Engineering,History and Philosophy of Science,Engineering Design Laboratory
14,4,Civil Engineering,Structural Design,Construction Management
14,4,Civil Engineering,Engineering Elective,Engineering Elective
14,4,Civil Engineering,Ethics in Engineering,Engineering Seminar
14,4,Civil Engineering,Senior Design Project I,Senior Design Project II
14,1,Biology,Introduction to Biology,Calculus I
15,1,Biology,Introduction to Sociology,English Composition
15,1,Biology,Psychology,General Chemistry
15,1,Biology,Introduction to Anthropology,College Success Seminar
15,2,Biology,Cell Biology,Genetics
15,2,Biology,Evolutionary Biology,Introduction to Programming (Python)
15,2,Biology,Art,Physics I
15,2,Biology,Communication and Presentation Skills,Ecology
15,3,Biology,Microbiology,Biochemistry
15,3,Biology,Physiology,Biostatistics
15,3,Biology,Economics,Technical Writing and Presentation
15,3,Biology,History and Philosophy of Science,Molecular Biology Laboratory
15,4,Biology,Senior Thesis in Biology,Advanced Topics in Biology
15,4,Biology,Ecology Elective,Ethics in Biology
15,4,Biology,Biology Elective,Biology Seminar
15,4,Biology,Independent Research in Biology,Honors Thesis in Biology
15,1,Political Science,Introduction to Political Science,Calculus I
16,1,Political Science,Introduction to Sociology,English Composition
16,1,Political Science,Psychology,General Chemistry
16,1,Political Science,Introduction to Philosophy,College Success Seminar
16,2,Political Science,American Politics,International Relations
16,2,Political Science,Comparative Politics,Introduction to Programming (Python)
16,2,Political Science,Art,Economics Principles
16,2,Political Science,Communication and Presentation Skills,Introduction to Public Administration
16,3,Political Science,Political Theory,Research Methods in Political Science
16,3,Political Science,Public Policy,Environmental Politics
16,3,Political Science,Economics,Technical Writing and Presentation
16,3,Political Science,History and Philosophy of Science,Political Science Elective
16,4,Political Science,Senior Seminar in Political Science,International Law and Organizations
16,4,Political Science,Political Science Elective,Ethics in Politics
16,4,Political Science,Capstone Project in Political Science,Political Science Seminar
16,4,Political Science,Independent Research in Political Science,Honors Thesis in Political Science
16,1,Economics,Introduction to Economics,Calculus I
17,1,Economics,Introduction to Sociology,English Composition
17,1,Economics,Psychology,General Chemistry
17,1,Economics,Introduction to Philosophy,College Success Seminar
17,2,Economics,Macroeconomics,Microeconomics
17,2,Economics,Statistics for Economics,Introduction to Programming (Python)
17,2,Economics,Art,Physics I
17,2,Economics,Communication and Presentation Skills,Introduction to Finance
17,3,Economics,International Economics,Development Economics
17,3,Economics,Game Theory,Economics Elective
17,3,Economics,History of Economic Thought,Technical Writing and Presentation
17,3,Economics,History and Philosophy of Science,Economics Elective
17,4,Economics,Senior Thesis in Economics,Applied Econometrics
17,4,Economics,Economics Elective,Ethics in Economics
17,4,Economics,Capstone Project in Economics,Economics Seminar
17,4,Economics,Independent Research in Economics,Honors Thesis in Economics
17,1,Biology,Introduction to Biology,Calculus I
18,1,Biology,Introduction to Digital Logic,English Composition
18,1,Biology,Art,General Chemistry
18,1,Biology,Introduction to Sociology,College Success Seminar
18,2,Biology,Genetics,Calculus II
18,2,Biology,Ecology,Introduction to Programming (Python)
18,2,Biology,Psychology,Physics I
18,2,Biology,Communication and Presentation Skills,Ethics in Science
18,3,Biology,Cell Biology,Biochemistry
18,3,Biology,Microbiology,Data Analysis for Biological Sciences
18,3,Biology,Economics,Technical Writing and Presentation
18,3,Biology,History and Philosophy of Science,Laboratory Techniques in Biology
18,4,Biology,Senior Research Project I,Senior Research Project II
18,4,Biology,Evolutionary Biology,Neuroscience
18,4,Biology,Biology Elective,Biology Elective
18,4,Biology,Biology Seminar,Independent Research in Biology
18,1,Civil Engineering,Introduction to Civil Engineering,Calculus I
19,1,Civil Engineering,Introduction to Digital Logic,English Composition
19,1,Civil Engineering,Art,General Chemistry
19,1,Civil Engineering,Introduction to Sociology,College Success Seminar
19,2,Civil Engineering,Mechanics of Materials,Calculus II
19,2,Civil Engineering,Engineering Thermodynamics,Introduction to Programming (Python)
19,2,Civil Engineering,Spanish Language,Physics I
19,2,Civil Engineering,Communication and Presentation Skills,Engineering Ethics
19,3,Civil Engineering,Structural Analysis,Introduction to Geotechnical Engineering
19,3,Civil Engineering,Fluid Mechanics,Environmental Engineering
19,3,Civil Engineering,Economics,Technical Writing and Presentation
19,3,Civil Engineering,History and Philosophy of Science,Engineering Design Laboratory
19,4,Civil Engineering,Senior Design Project I,Senior Design Project II
19,4,Civil Engineering,Transportation Engineering,Water Resources Engineering
19,4,Civil Engineering,Civil Engineering Elective,Civil Engineering Elective
19,4,Civil Engineering,Ethics in Engineering,Engineering Seminar
19,1,Journalism,Introduction to Journalism,Calculus I
20,1,Journalism,Introduction to Digital Logic,English Composition
20,1,Journalism,Art,General Chemistry
20,1,Journalism,Introduction to Sociology,College Success Seminar
20,2,Journalism,News Reporting and Writing,Feature Writing
20,2,Journalism,Journalism Ethics and Law,Introduction to Programming (Python)
20,2,Journalism,Spanish Language,Communication and Presentation Skills
20,2,Journalism,Media and Society,History of Journalism
20,3,Journalism,Digital Journalism,Data Journalism
20,3,Journalism,Visual Journalism,Economics
20,3,Journalism,Art,Technical Writing and Presentation
20,3,Journalism,Media Management and Entrepreneurship,Multimedia Storytelling
20,4,Journalism,Investigative Journalism,Advanced Journalism Elective
20,4,Journalism,Journalism Elective,Ethics in Journalism
20,4,Journalism,Journalism Seminar,Independent Research in Journalism
20,1,Physics,Introduction to Physics,Calculus I
20,1,Physics,Introduction to Digital Logic,English Composition
21,1,Physics,Art,General Chemistry
21,1,Physics,Introduction to Sociology,College Success Seminar
21,2,Physics,Classical Mechanics,Calculus II
21,2,Physics,Electromagnetism,Introduction to Programming (Python)
21,2,Physics,Spanish Language,Physics I
21,2,Physics,Communication and Presentation Skills,Ethics in Science
21,3,Physics,Quantum Mechanics,Introduction to Solid State Physics
21,3,Physics,Statistical Mechanics,Data Analysis for Physical Sciences
21,3,Physics,Economics,Technical Writing and Presentation
21,3,Physics,History and Philosophy of Science,Laboratory Techniques in Physics
21,4,Physics,Advanced Topics in Physics,Astrophysics
21,4,Physics,Physics Elective,Ethics in Science
21,4,Physics,Physics Elective,Independent Research in Physics
21,4,Physics,Physics Seminar,Senior Thesis in Physics
21,1,Environmental Studies,Introduction to Environmental Studies,Calculus I
21,1,Environmental Studies,Introduction to Digital Logic,English Composition
22,1,Environmental Studies,Art,General Chemistry
22,1,Environmental Studies,Introduction to Sociology,College Success Seminar
22,2,Environmental Studies,Environmental Policy and Regulation,Statistics for Environmental Sciences
22,2,Environmental Studies,Earth System Science,Introduction to Programming (Python)
22,2,Environmental Studies,Spanish Language,Physics I
22,2,Environmental Studies,Communication and Presentation Skills,Environmental Ethics
22,3,Environmental Studies,Ecosystem Ecology,Environmental Chemistry
22,3,Environmental Studies,Data Analysis for Environmental Science,Geology and Earth Processes
22,3,Environmental Studies,Economics,Technical Writing and Presentation
22,3,Environmental Studies,History and Philosophy of Science,Engineering Design Laboratory
22,4,Environmental Studies,Senior Thesis in Environmental Studies,Environmental Impact Assessment
22,4,Environmental Studies,Conservation Biology,Environmental Studies Elective
22,4,Environmental Studies,Environmental Studies Elective,Ethics in Environmental Studies
22,4,Environmental Studies,Environmental Studies Seminar,Independent Research in Environmental Studies
22,1,Civil Engineering,Introduction to Civil Engineering,Calculus I
22,1,Civil Engineering,Introduction to Digital Logic,English Composition
23,1,Civil Engineering,Economics,General Chemistry
23,1,Civil Engineering,Introduction to Sociology,College Success Seminar
23,2,Civil Engineering,Mechanics of Materials,Calculus II
23,2,Civil Engineering,Engineering Materials,Introduction to Programming (Python)
23,2,Civil Engineering,Art,Physics I
23,2,Civil Engineering,Communication and Presentation Skills,Engineering Ethics
23,3,Civil Engineering,Structural Analysis,Introduction to Geotechnical Engineering
23,3,Civil Engineering,Fluid Mechanics,Environmental Engineering
23,3,Civil Engineering,Economics,Technical Writing and Presentation
23,3,Civil Engineering,History and Philosophy of Science,Engineering Design Laboratory
23,4,Civil Engineering,Senior Design Project I,Senior Design Project II
23,4,Civil Engineering,Reinforced Concrete Design,Transportation Engineering
23,4,Civil Engineering,Water Resources Engineering,Engineering Elective
23,4,Civil Engineering,Ethics in Engineering,Engineering Seminar
23,1,Economics,Introduction to Economics,Calculus I
23,1,Economics,Introduction to Sociology,English Composition
24,1,Economics,Spanish Language,General Chemistry
24,1,Economics,Introduction to Philosophy,College Success Seminar
24,2,Economics,Macroeconomics,Microeconomics
24,2,Economics,Statistics for Economics,Introduction to Programming (Python)
24,2,Economics,Art,Physics I
24,2,Economics,Communication and Presentation Skills,Business Ethics
24,3,Economics,International Trade,Development Economics
24,3,Economics,Public Finance,Game Theory
24,3,Economics,Environmental Studies,Technical Writing and Presentation
24,3,Economics,History and Philosophy of Economics,Mathematics for Economics
24,4,Economics,Econometrics,Senior Seminar in Economics
24,4,Economics,Economics Elective,Economics Elective
24,4,Economics,Ethics in Economics,Independent Research in Economics
24,4,Economics,Capstone Project in Economics,Economics Internship or Project
24,1,Journalism,Introduction to Journalism,English Composition
24,1,Journalism,Introduction to Sociology,Art
25,1,Journalism,Spanish Language,General Chemistry
25,1,Journalism,Introduction to Philosophy,College Success Seminar
25,2,Journalism,News Reporting and Writing,Feature Writing
25,2,Journalism,Multimedia Journalism,Introduction to Programming (Python)
25,2,Journalism,Economics,Communication and Presentation Skills
25,2,Journalism,History of Journalism,Investigative Journalism
25,3,Journalism,Data Journalism,Media Law and Ethics
25,3,Journalism,Digital Storytelling,Environmental Studies
25,3,Journalism,Technical Writing and Presentation,Photography for Journalists
25,3,Journalism,History and Philosophy of Journalism,Journalism Ethics and Diversity
25,4,Journalism,Senior Project in Journalism,Journalism Elective
25,4,Journalism,Journalism Elective,Ethics in Journalism
25,4,Journalism,Journalism Seminar,Independent Research in Journalism
25,4,Journalism,Journalism Internship or Project,Journalism Capstone Project
25,1,Biology,Introduction to Biology,Calculus I
25,1,Biology,Introduction to Sociology,English Composition
26,1,Biology,Spanish Language,General Chemistry
26,1,Biology,Introduction to Philosophy,College Success Seminar
26,2,Biology,Genetics,Evolutionary Biology
26,2,Biology,Cell Biology,Introduction to Programming (Python)
26,2,Biology,Art,Physics I
26,2,Biology,Communication and Presentation Skills,Ethics in Biology
26,3,Biology,Ecology,Animal Physiology
26,3,Biology,Molecular Biology,Data Analysis for Biologists
26,3,Biology,Environmental Studies,Technical Writing and Presentation
26,3,Biology,History and Philosophy of Biology,Microbiology
26,4,Biology,Senior Thesis in Biology,Biology Elective
26,4,Biology,Biology Elective,Ethics in Biology
26,4,Biology,Biology Seminar,Independent Research in Biology
26,4,Biology,Biology Internship or Project,Biology Capstone Project
26,1,Political Science,Introduction to Political Science,Calculus I
